studyName,germplasmDbId,germplasmName,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,Ear Height [cm]|G2F:0000005,Grain Moisture [percent]|G2F:0000009,Grain Yield [bu/acre]|G2F:0000012,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 110|COMP:0005283,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 54|COMP:0006948,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 62|COMP:0002928,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 67|COMP:0007188,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 74|COMP:0007758,Mean Pixel Value|Merged 3 Bands NRN|NDVI Vegetative Index Image|day 84|COMP:0007548,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 110|COMP:0005313,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 54|COMP:0006963,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 62|COMP:0002943,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 67|COMP:0007203,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 74|COMP:0007773,Mean Pixel Value|Merged 3 Bands NReN|NDRE Vegetative Index Image|day 84|COMP:0007563
2019_NYH2,47237,PHW65_MoG_0041/PHT69,2019_NYH2_plot_1,1,1,1,3,2,119,18.6,180.1714112,0.854711061543399,0.750311958620519,0.882987683585276,0.895583836098542,0.874359141947377,0.759556784789201,0.51354641094811,0.450366811516903,0.583604266733204,0.582146021870287,0.577503603150662,0.455445993426272
2019_NYH2,47348,PHW65_MoG_0296/PHT69,2019_NYH2_plot_10,1,1,10,12,2,151,20.4,170.9117072,0.853934377130768,0.7680157998393,0.886311798667859,0.879987999774222,0.868771241830065,0.772316810553349,0.528341075786831,0.46421882171017,0.582924888583924,0.592469239756315,0.579000837942014,0.465697608523178
2019_NYH2,47383,PHW65_MoG_0410/PHT69,2019_NYH2_plot_100,1,1,100,3,3,126,20.3,137.0017496,0.863983635703225,0.760769386000558,0.904143272986623,0.908716633070674,0.88931221719457,0.773668460758052,0.554956126096848,0.429876321034547,0.588261832295304,0.602618554421256,0.590481649069884,0.437678821704912
2019_NYH2,43968,B37/MO17,2019_NYH2_plot_101,1,1,101,3,4,149,22.7,87.0932916,0.826752566479956,0.7781059763471,0.895542887663185,0.898060986516182,0.892718397130162,0.782384502265094,0.466178031823714,0.437120801789472,0.56292073665506,0.56038820992092,0.565228350522468,0.44006053113591
2019_NYH2,47255,PHW65_MoG_0071/PHT69,2019_NYH2_plot_102,1,1,102,4,4,124,18.7,182.2593156,0.849495880250053,0.814401188411895,0.905020134600323,0.903948553671242,0.875481649069884,0.814831385818108,0.508980991161496,0.484621653251419,0.606146563255914,0.593280028206716,0.575278364337188,0.487728995447044
2019_NYH2,47230,PHW65_MoG_0029/PHT69,2019_NYH2_plot_103,1,1,103,5,4,127,20.7,167.5145888,0.844200241439391,0.798099894123729,0.876407931854255,0.887641402714932,0.857840623428859,0.790337275658226,0.525892804427813,0.502774207102833,0.605220718191837,0.603172762694821,0.580533936651584,0.498654120050416
2019_NYH2,47227,PHW65_MoG_0022/PHT69,2019_NYH2_plot_104,1,1,104,6,4,134,19.2,161.1630336,0.843383866383732,0.818892418097931,0.89310878164885,0.894743638217935,0.867712418300654,0.815551510326392,0.528969011068841,0.498822230146817,0.595217599234816,0.597719647818116,0.578513826043238,0.496877479315426
2019_NYH2,47430,PHW65_MoG_0622/PHT69,2019_NYH2_plot_105,1,1,105,7,4,123,19.5,164.629584,0.842507662798626,0.833927205520572,0.907139460887978,0.902574283168016,0.861329311211664,0.83561865744465,0.543525333435292,0.520141900859592,0.630652424511324,0.609731404343829,0.584499748617396,0.523166999776084
2019_NYH2,47317,PHW65_MoG_0194/PHT69,2019_NYH2_plot_106,1,1,106,8,4,147,19.3,173.8678272,0.856178095547611,0.861082145657869,0.911016433437992,0.908090641911562,0.869793531087649,0.857882944521387,0.543728102875859,0.540700022189237,0.634241573617782,0.624692320242108,0.598181330651919,0.539918256884031
2019_NYH2,42091,PHG39/PHN82,2019_NYH2_plot_107,1,1,107,9,4,155,21.5,173.83511,0.857495623107451,0.843703264472291,0.899164812619993,0.903211745597672,0.8688114598342,0.831139510647061,0.530653880738813,0.538598120765295,0.63349801426403,0.630721616867851,0.602519492994216,0.532819432580589
2019_NYH2,47378,PHW65_MoG_0384/PHT69,2019_NYH2_plot_108,1,1,108,10,4,135,20.4,137.0810704,0.831804597041937,0.757753432685636,0.850189286036083,0.871254124111098,0.828627618568795,0.748939993310168,0.533758244279187,0.472678116784568,0.584658196965601,0.593238584128,0.563097871627283,0.469002717398816
